smiles,Td
CC(C)(N=NC(C)(C)C(=N)NCCCC(O)=O)C(=N)NCCCC(O)=O,377.15
O=C(CC(NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O)NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,377.15
CC(C)(C)OC(=O)NC(=O)C(N)C1=CC(O)=C(O)C=C1,377.65
COC1=C(OC)C=C(NN)C=C1,377.65
CC(C)CCN1C2=C(C=CC=C2)N(CCN2CCOCC2)C(=O)C(NC(=O)NC2=CC=C(O)C=C2)C1=O,377.65
C[C@@H]1N(C(=O)C2=CC=CC=C2)C(=O)OC1=O,377.85
CC(=O)OC1=C(C=CC=C1)C(=O)NC1=CC(=CC(NC(=O)C2=C(OC(C)=O)C=CC=C2)=C1)C(N)=O,378.15
C[C@H]1CN(CC(=O)NC2=C(N)C=CC=C2)C[C@@H](C)O1,378.15
C\C=C\C=C\C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)\C=C\C=C\C,378.15
CC1=C(O)C=C(O)C=C1,378.15
CCCC1(CC(O)=O)OCCC2=C1NC1=CC=C(OCC3=NC4=CC=CC=C4C=C3)C=C21,378.15
COC(CCCNC(=O)CC(=O)NCCCC(OC)OC)OC,378.15
COC1=CC(NC(=O)OCCN2CCCN(CCOC(=O)NC3=CC(OC)=C(OC(C)=O)C(OC)=C3)CC2)=CC(OC)=C1OC,378.15
COC(=O)CCNC(=O)C1=CC2=C(C=C1N(C)C(=O)OCC(C)C)N(C)C(=N2)C1=CC=C(C=C1)C(N)=N,378.15
COC1=C(CC(=N)N2C[C@H]3[C@@H](C2)C(CC[C@@H]3O)(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,378.15
COC1=C(OC)C=C2C(C=C(CO)C(CO)=C2C2=CC(=NC=C2)N2C(=O)C=C(OCCO)C3=CC=CC=C23)=C1,378.15
COC1=CC=C2N(CC3=CC=C(C=C3)C(C)(C)C)C(COC(C)=O)=C(C(=O)C(O)=O)C2=C1,378.15
CN(CCC1=CC=CC=C1)C(=O)CC1=CN(C=CC(O)=O)C2=CC=C(OCC3=CC=CC=C3)C=C12,379.15
COC1=C(C=CC=C1)[C@]1(O)C[C@H](CC#N)C[C@H]2CN(C[C@@H]12)C(=O)[C@@H](C)C1=C(O)C=CC=C1,379.15
COC(=O)C1=CC=C(C=C1)C1=NNC=C1,379.15
CCC1=C(C(=O)C2=CC=CC(OCC(O)=O)=C2)C2=C(O1)C=CC=C2,379.65
COC1=C(NC(=O)NC2=C(C)C=CC=C2)C=CC(=C1)N(C(C)=O)C1=CC=C(C=C1)[C@@H](CC(O)=O)NC(=O)CN,379.65
OC(=O)COC1=CC=C2CCC(=CC2=C1)N1C=CN=C1,380.15
NC(C(N)=O)C1=CC(O)=C(O)C=C1,380.15
COC1=C2C(CC=C3C(C)=C(CCC23C)C=O)=C(OC)C(=C1)C(C)C,380.15
CCOC(=O)C1=C(N=NN(C)C)N=C(CC2=CC=CC=C2)N1C,380.65
CC(C)=NNC1=CC=C(OCC2CO2)N=N1,380.65
COC(=O)CCCCCCCC(=O)NC1=CC=C(C=C1)C(=O)NNC(=O)OC(C)(C)C,380.65
OCCC1=CC=C2NC(=CC2=C1)C(=O)OCC1=CC=CC=C1,380.65
CCC(O)C1=CN2C3=C(C=CC=C3)C3=CC=CC(=C23)C1=O,380.95
CCOC(=O)C1=CC=CC2=C1NC(N)=N2,381.15
O=[N+](OCC(CO[N+]([O-])=O)(N(CCO[N+]([O-])=O)CCO[N+]([O-])=O)CO[N+]([O-])=O)[O-],381.15
OC(=O)[C@@H]1CCCN1N=O,381.65
O=C(CC1=CC=CC=C1)NC1CN(CC#N)C1=O,381.65
CCOC(=O)CC(NC(=O)C1=CC=CC=C1)C(=O)C1=COC=C1,382.15
NC(=N)NCCOCCO,382.15
NCC1CC2=C(O1)C(CC1=CC=CC=C1)=CC=C2,382.15
CN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,382.65
CCCN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,383.15
NC(=N)NC1=CC=C(C=C1)C(=O)N1CCN(CCC(O)=O)C(=O)C1,383.15
CCCCCCCCCCCCCCCCCCOC(=O)\C=C/C(=O)NC(N)=O,383.15
NC1=CC=CC(=N1)C1=CC=C(CCN2CC3=CC=CC=C3CC2C(O)=O)C=C1,383.15
CNCC1=CC=CC(=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,383.15
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC3=C(OCCO3)C=C2)C=C1,383.15
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=C(C)C=C(C)C=C2)C=C1,383.15
CCOC(=O)C1=NC(=NC1=[N+]=[N-])C1=CC=CC=C1,384.15
CCCC1(CCC)N(OC(C)(C)C#N)C(CCC)(CCC)C2=CC=CC=C12,384.15
CCOC(=O)N(C1=NN(CC1)C1=CC=CC=C1)C1=CC=CN=C1,384.15
CCOC(=O)C1=CC2=C(N=C(C)N2C)C(NCC2=C(CC)C=CC=C2C)=N1,384.15
CCCOC1=C(O)C=C(CN)C=C1,384.65
CCNCCN1C(=O)C2=CC=CC=C2C1=O,385.15
CC(C)NC(=O)N(O)CC#CC1=CC(=CC=C1)C1=N[C@@H](CO1)C1=CC=CC=C1,385.45
CC(=O)OC1=C(C=CC=C1)C(=O)OC1=CC=CC2=CC3=CC=CC(OC(=O)C4=C(OC(C)=O)C=CC=C4)=C3C(OC(=O)C3=C(OC(C)=O)C=CC=C3)=C12,385.65
CC1=CC(=CC(C)=C1O)C(=O)NC1CCC(=O)N2CCCC(N2C1=O)C(=O)NC1CC(=O)OC1OCC1=CC=CC=C1,385.65
CCCCNC(=O)N[C@@H](CC1=CC=C(OC)C=C1)C(=O)N[C@H]1[C@@H](O)[C@@H](O[C@@H]1C(=O)NCCCC)N1C=NC2=C(N)N=CN=C12,386.15
CC1=C(N(CCCCCCNCCN)C2=CC=C(O)C=C12)C1=CC=C(O)C=C1,386.15
O[C@@H]1[C@@H](CCOC2=C1C=C(OCC1=NC3=CC=CC=C3C=C1)C=C2)OC1=CC(=CC=C1)C(O)=O,386.15
CCC1=CC=CC(NC(=O)NC2N=C(N3CCN(C)CC3)C3=C(C=CC=C3)N(CC(C)C)C2=O)=C1,386.15
CC(C1=NOC(=C1)N=C(N)N1CCOCC1)C1=CC2=C(C=C1)C1=CC=CC=C1N2,386.15
CN1C=NC(=C1)C1=NC(C=O)=CN1C,386.15
CN1C=NC(=C1)C1=NC=C(C=O)N1C,386.15
CN1CC=CCC1(C=NO)C#N,386.65
CCCCCCCCCCCCCCOC1=CC=C(O1)C(O)=O,386.65
COC(=O)C1=CC(=NN(CC2=CC=CN=C2)C1=O)C1=CC=C(OC)C=C1,386.95
CC(C)OC1=CC=C(NC2=CC=CC=C2)C=C1,387.15
OCCOC1=CC=NC=C1,387.15
CCC1=C(CC2=C(C=CC=C2)C2=CC=CC=C2)N2C=CC(OCCCC(O)=O)=CC2=C1C(=O)C(N)=O,387.15
CC1=CC=C(C=C1)N(N=O)C1=CC=CC(O)=C1,387.15
CCOC(=O)N1C(=O)C(=O)C2=CC=CC=C12,387.65
CN1C(CC(O)=O)=CC2=C1C(=O)C1=C(CO2)C=CC=C1,388.15
CNC1=C(C=CC=C1C(=O)OC(C)(C)C)C(=O)C(O)=O,388.15
C[C@@H]1O[C@@H](OC2=C(NC=N2)C(N)=O)[C@H](O)[C@H](O)[C@H]1O,388.15
O[C@@H]1[C@H](NC(=O)C2=CC=CC=C2)[C@H](O[C@H]1N1C=NC2=C(NC(=O)C3=CC=CC=C3)N=CN=C12)C(O)=O,388.15
CN1CCN(CN2C(=O)CN(CCN3CC(=O)N(CN4CCN(C)CC4)C(=O)C3)CC2=O)CC1,388.15
CCC1=CN([C@H]2C[C@H](O)[C@@H](CNC(=O)C(C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)O2)C(=O)NC1=O,388.15
C[C@H]1[C@H](NC(=O)OCC2=CC=CC=C2)C(=O)N1OC(C)(C)C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1,388.15
COC[C@H]1O[C@@H](OC2=CC=C(N)C=C2)[C@H](O)[C@@H](O)[C@H]1O,388.15
COC1=C(OC)C=C2C(NC3=C4C=CC=NC4=CC=C3)=C(C=NC2=C1)C#N,388.15
CC(C)(C)C(=O)C(CC(O)=O)C(O)=O,388.15
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC=C(C)C=C2)C=C1,388.15
CC1=C(COC2=CC=C(COC3=CC=CN=C3CC(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,388.65
CC1=CC(=CC=C1)C1=NC(COC2=CC=C(COC3=CC=CN=C3CC(O)=O)C=C2)=CO1,388.65
CCC1(C)N=C2N(C(=O)NC)C3=C(C=CC=C3)N2C(=O)N1C,389.15
OC(=O)C1=NC=CN1CCCC1=CC=C(OCC2=COC(\C=C\C3=CC=CC=C3)=N2)C=C1,389.15
CC1(C)CC(N)CC(C)(C)N1O,389.15
OC(=O)[C@H](CC1=CC=CC=C1)NC1=NC=NC(=C1)C1=CC=C(CNC2=CC=CC=C2)C=C1,389.65
CN1C=CC=C1C(=O)C(C#N)C(=O)NCC1=NC=CC=C1,390.15
