smiles,min_bde_pred,Group
COC(=O)N1CCC2=C(C1)C=C(NN)N=N2,27.618801,0
CCC1=C(C2=C(COCCCCCCCCN3CCCCC3)C=C3N2C1=CC=C3O)C1=CC=C(O)C=C1,22.26381,0
CC1=CC(C)=C(NN=NC2=C(C)C=C(C)C=C2C)C(C)=C1,19.141338,0
O=[N+](OC1(O[N+]([O-])=O)COC1)[O-],84.475494,0
CC(C)(C)OC(=O)NC(C(O)=O)C1=CC(NC(N)=O)=CC=C1,25.362726,0
CON(C1CC2=CC=CC=C2CN1C(C)C)C(=O)C1=CC=C(C=C1)C(O)=O,9.997741,0
CC1=CC=C(C=C1)C(=O)C1=CC(C(=O)ON2C(=O)CCC2=O)=C(O)C(O)=C1,9.968151,0
OC1=CC=C(CC2CCCCN2C(=O)C(=O)NC2=CC=C3NC(=O)CC3=C2)C=C1,22.583136,0
COC1=C(CN[C@H]2CCCN(CCCO)[C@H]2C2=CC=CC=C2)C=CC=C1,19.542698,0
CC1(C)NCC(=O)N1CC(=O)NCC(=O)N1CC(=O)NC1(C)C,56.520798,0
CCC1=CN([C@H]2C[C@H](OCC3=CC=CC=C3)[C@@H](CN)O2)C(=O)NC1=O,27.276516,0
O[C@@H]1[C@@H](COC2=CC(OCC3=CC4=CC=CC=C4C=C3)=CC=C12)OC1=CC=CN=C1,12.803393,0
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CCCN4CCOCC4)CC3)N=C12,12.171797,0
OC(=O)CC1=CC(=CC=C1)C#N,23.144272,0
CCN1C2=C(C=CC=N2)N(C)C(=O)C2=C1N=CC(CC(O)C1=CC=NC=C1)=C2,23.859383,0
COC1=CC2=C(C=C1OCCN1CCN(C)CC1)C=C1N=CC(C#N)=C(NC3=CC(OC)=C(OC)C(OC)=C3)C1=C2,-5.364126,0
CC(=O)C(=NOC(=O)OC(C)(C)C)C(=O)C1=CC=CC=C1,15.951644,0
COC1=CC(OC)=C(CN2C3=C(C[C@H]([C@H](C(O)=O)C2=O)C2=CC4=C(OCO4)C=C2)C=CC=C3)C=C1,14.337868,0
CC(C)(N=NC(C)(C)C(=N)NCCCCCC(O)=O)C(=N)NCCCCCC(O)=O,61.303936,0
COC1=CC=C(C2=CC3=C(O)C=C(O)C=C3O2)C(OC)=N1,24.561684,0
O=C(N[C@H]1CN([C@@H](C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(OC(=O)OCC3=CC=CC=C3)C=C2)C1=O)OCC1=CC=CC=C1,21.89236,0
CC(C)(NC(=O)[C@H](CCCCN)NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,21.063736,0
CN(C)CCC1=CC=C(C=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,20.779785,0
