smiles,Group
O=[N+](/C([N+]([O-])=O)=C(N(C([H])([H])N(C([H])(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[H])C1([H])[H])[H])/N1[H])[O-],0
ON(C1=CC(=CC=C1)[N+]([O-])=O)C1=C(C=C(C=C1)N=O)[N+]([O-])=O,0
COC1=C(O)C=C2C(CCC\C2=N/OCC2=CC3=NON=C3C=C2)=C1,0
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1,0
OCCN1N=NN/C1=N\[N+]([O-])=O,0
COC1=CC(=CC2=C1C(=O)C1=C(OC)C=CC=C1C2=O)C(=O)N=[N+]=[N-],0
CC1=C([N+]([O-])=N[N+]([O-])=O)C=C([N+]([O-])=N[N+]([O-])=O)C=C1,0
[N-]=[N+]=NCC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
[N-]=[N+]=NCCN1N=NN/C1=N\[N+]([O-])=O,0
O=C(N[N+]([O-])=O)NC1=NON=C1NC(N[N+]([O-])=O)=O,0
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N[N+]([O-])=O,0
NN1N=NC([N+]([O-])=O)=N1,0
O=[N+](C([N+]([O-])=O)C1=NON=C1/N=N/C2=NON=C2C([N+]([O-])=O)[N+]([O-])=O)[O-],0
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N[N+]([O-])=O,0
OCCN1C(=O)C2=CC=CC(N=[N+]=[N-])=C2C1=O,0
O=[N+](C1=CN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1[N+]([O-])=O)[O-],0
CC\C(=C/C(=NO)C(N)=O)C(C)[N+]([O-])=O,0
O=C(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,0
[N-]=[N+]=NC[C@@H]1NC(=O)[C@@H]1NC(=O)COC1=CC=CC=C1,0
CON=C(C(O)=O)C1=CC(=C(O)C=C1)[N+]([O-])=O,0
OC(=O)CN1C=CN=C1[N+]([O-])=O,0
ON1N=NN=C1C2=NOC=N2,0
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1N,0
O=[N+](NC1=NC(N=[N+]=[N-])=NN1)[O-],0
O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],0
NC1=NON=C1[N+]([O-])=O,0
C[C@]12CC[C@H]3[C@@H](CCC4=C(N=[N+]=[N-])C(=O)CC[C@]34C)[C@@H]1CCC2=O,0
COCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,0
COC1=C(O)C=C2C(CC\C2=N/OCC2=CC3=NON=C3C=C2)=C1,0
O=C(OCCCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N,0
CC1=CC=C(C=C1)C1=C(C=CC=C1)C(=O)C1=NN(N=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)COC(N)=O)[O-],0
